iter	Passed	Remaining
410	4536	6500
411	4546	6489
412	4558	6478
413	4568	6466
414	4578	6454
415	4588	6441
416	4598	6429
417	4608	6416
418	4620	6406
419	4633	6398
420	4645	6389
421	4657	6379
422	4671	6372
423	4685	6365
424	4698	6357
425	4710	6347
426	4720	6334
427	4732	6324
428	4741	6311
429	4756	6304
430	4766	6292
431	4776	6279
432	4787	6268
433	4797	6257
434	4807	6244
435	4818	6232
436	4831	6224
437	4843	6214
438	4855	6205
439	4866	6194
440	4877	6182
441	4888	6171
442	4899	6160
443	4911	6150
444	4922	6139
445	4933	6128
446	4944	6116
447	4956	6106
448	4969	6098
449	4982	6089
450	4994	6079
451	5008	6071
452	5019	6060
453	5029	6048
454	5041	6039
455	5052	6027
456	5066	6019
457	5077	6008
458	5088	5997
459	5099	5986
460	5109	5974
461	5119	5961
462	5130	5950
463	5139	5937
464	5153	5929
465	5165	5918
466	5174	5906
467	5187	5896
468	5198	5885
469	5208	5873
470	5218	5861
471	5228	5849
472	5241	5840
473	5253	5830
474	5263	5817
475	5277	5809
476	5287	5797
477	5298	5786
478	5309	5775
479	5319	5762
480	5329	5750
481	5345	5744
482	5354	5731
483	5363	5718
484	5374	5706
485	5385	5696
486	5396	5684
487	5406	5672
488	5416	5659
489	5426	5648
490	5435	5634
491	5447	5624
492	5457	5612
493	5468	5600
494	5479	5590
495	5490	5579
496	5500	5566
497	5512	5556
498	5522	5545
499	5531	5531
500	5543	5521
501	5553	5509
502	5563	5497
503	5574	5486
504	5585	5474
505	5597	5464
506	5607	5452
507	5616	5439
508	5627	5428
509	5637	5416
510	5647	5404
511	5658	5393
512	5668	5381
513	5678	5369
514	5687	5356
515	5696	5343
516	5707	5332
517	5716	5319
518	5727	5307
519	5738	5296
520	5751	5287
521	5762	5277
522	5774	5266
523	5786	5256
524	5798	5246
525	5808	5234
526	5818	5222
527	5829	5211
528	5840	5199
529	5850	5188
